fpts,fpts_ci,rank_overall,rank_pos,rush_att,rush_yd,rush_td,rec_rcpt,rec_tgt,rec_yd,rec_td,player,team,pos,source,source_url,fpts_halfppr_adjust
192.29500000000002,125.68-177.18,#79,#21,0.0,0.0,0.0,81.73,130.05,1077.24,7.32,Tee Higgins,CIN,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
195.14,124.75-176.09,#80,#22,0.0,0.0,0.0,89.44,148.4,1069.55,7.26,Davante Adams,LV,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
190.16,121.74-172.52,#82,#23,4.49,25.09,0.17,86.06,130.38,1019.62,7.12,Stefon Diggs,HOU,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
181.74,120.4-170.92,#83,#24,4.49,25.18,0.17,72.16,118.52,1013.98,6.89,Tank Dell,HOU,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
184.97,119.05-169.33,#85,#25,5.39,31.17,0.29,81.56,125.67,1008.27,6.45,Zay Flowers,BAL,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
183.195,118.9-169.14,#87,#26,2.26,12.87,0.11,78.35,126.4,990.11,7.39,Marquise Brown,KC,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
194.155,118.66-168.86,#88,#27,0.0,0.0,0.0,100.79,153.81,1080.52,6.22,Michael Pittman Jr.,IND,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
189.16,118.54-168.72,#89,#28,0.0,0.0,0.0,91.06,136.76,1102.64,5.67,Malik Nabers,NYG,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
178.045,118.23-168.35,#90,#29,0.0,0.0,0.0,69.51,121.84,1084.46,5.94,Amari Cooper,CLE,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
178.12,117.46-167.44,#91,#30,0.0,0.0,0.0,71.34,117.9,1085.8,5.84,George Pickens,PIT,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
181.14000000000001,113.3-162.5,#96,#31,0.0,0.0,0.0,86.48,130.75,1030.33,5.88,Chris Godwin,TB,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
178.36,110.53-159.21,#99,#32,0.0,0.0,0.0,86.98,133.9,1017.21,5.7,Christian Kirk,JAC,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
178.48,110.32-158.96,#100,#33,0.0,0.0,0.0,87.68,128.31,994.63,6.02,Keenan Allen,CHI,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
166.915,104.51-152.07,#102,#34,0.0,0.0,0.0,77.25,132.21,1011.17,4.54,Terry McLaurin,WSH,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
161.445,102.8-150.04,#104,#35,0.0,0.0,0.0,70.05,125.32,912.59,5.93,Calvin Ridley,TEN,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
159.22,101.41-148.39,#105,#36,0.0,0.0,0.0,68.64,120.01,940.98,5.3,DeAndre Hopkins,TEN,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
158.95,100.46-147.26,#106,#37,4.42,24.95,0.17,70.18,113.11,867.66,5.73,Jayden Reed,GB,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
150.53,98.6-145.06,#110,#38,2.26,12.87,0.11,57.4,96.29,868.21,5.6,Xavier Worthy,KC,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
152.48,97.41-143.63,#114,#39,0.0,0.0,0.0,63.92,102.62,845.57,6.05,Rome Odunze,CHI,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
152.725,93.92-139.5,#115,#40,0.0,0.0,0.0,72.03,119.29,927.84,4.11,Diontae Johnson,CAR,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
147.76,91.95-137.15,#117,#41,2.26,12.86,0.11,66.42,99.28,813.45,5.37,Rashee Rice,KC,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
149.265,91.89-137.11,#118,#42,0.0,0.0,0.0,69.53,121.8,845.67,5.03,Jordan Addison,MIN,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
