time/iterations,params/rollout_buffer_kwargs,params/learning_rate,params/n_steps,params/sde_sample_freq,params/vf_coef,rollout/ep_rew_mean,params/clip_range_vf,params/gae_lambda,params/seed,params/rollout_buffer_class,params/batch_size,params/policy_kwargs,time/total_timesteps,params/gamma,params/normalize_advantage,mean_reward,params/policy,time/time_elapsed,params/_init_setup_model,time/fps,params/clip_range,params/stats_window_size,params/target_kl,params/n_epochs,params/device,params/ent_coef,params/max_grad_norm,rollout/ep_len_mean,params/verbose,params/use_sde,train/clip_range,train/n_updates,train/policy_gradient_loss,train/learning_rate,train/clip_fraction,train/explained_variance,train/entropy_loss,train/approx_kl,train/loss,train/value_loss,eval/mean_reward,eval/mean_ep_length
54,,,,,,0.8198087600000001,,,,,,,110592,,,0.05478857,,7686,,14,,,,,,,,15.05,,,,,,,,,,,,,,
55,,,,,,0.8196492299999999,,,,,,,112640,,,0.054730903,,7822,,14,,,,,,,,15.0,,,0.2,540,-0.012830008419405204,0.0003,0.226123046875,0.9777557775378227,-0.7245680462568999,0.0264575,-0.03626340627670288,0.00029440767948472055,,
56,,,,,,0.8174731600000001,,,,,,,114688,,,0.054426927,,7961,,14,,,,,,,,15.0,,,0.2,550,-0.012496574119722936,0.0003,0.251513671875,0.9831747710704803,-0.6958334473893046,0.034278408,-0.021654944866895676,0.00021708617146032338,,
,,,,,,,,,,,,,115000,,,,,,,,,,,,,,,,,,0.2,560,-0.01603516732429853,0.0003,0.209619140625,0.98254619166255,-0.6621261549182236,0.027360883,-0.030653534457087517,0.0002278096605095925,0.8266847487539053,15.0
57,,,,,,0.81604897,,,,,,,116736,,,0.05443239,,8102,,14,,,,,,,,15.0,,,,,,,,,,,,,,
58,,,,,,0.82580338,,,,,,,118784,,,0.055114184,,8237,,14,,,,,,,,15.0,,,0.2,570,-0.01311308669974096,0.0003,0.212451171875,0.9780802894383669,-0.6474088799208403,0.039508022,-0.03879840672016144,0.0003468166722996102,,
,,,,,,,,,,,,,120000,,,0.05477738,,,,,,,,,,,,,,,0.2,580,-0.01257734230312053,0.0003,0.203662109375,0.9850189909338951,-0.6124022108502686,0.039220046,-0.029888303950428963,0.00022668933131626546,0.8406740110367537,15.0
59,,,,,,0.8278312699999999,,,,,,,120832,,,0.05503819,,8379,,14,,,,,,,,15.05,,,,,,,,,,,,,,
60,,,,,,0.82355833,,,,,,,122880,,,0.05519026,,8516,,14,,,,,,,,15.0,,,0.2,590,-0.012036482435360086,0.0003,0.22001953125,0.9780273679643869,-0.5885820806026458,0.038051948,-0.04214295744895935,0.00038214362516555413,,
61,,,,,,0.83077133,,,,,,,124928,,,0.055097897,,8655,,14,,,,,,,,15.0,,,0.2,600,-0.011863510629336816,0.0003,0.210595703125,0.9853378795087337,-0.5939215245656669,0.042369924,-0.009607679210603237,0.0001989945881177846,,
,,,,,,,,,,,,,125000,,,,,,,,,,,,,,,,,,0.2,610,-0.008198984093905893,0.0003,0.185791015625,0.9878272954374552,-0.579256503842771,0.030834857,-0.008756835013628006,0.00019335578135724064,0.8318333964794874,15.0
62,,,,,,0.8292683099999998,,,,,,,126976,,,0.055147167,,8802,,14,,,,,,,,15.0,,,,,,,,,,,,,,
63,,,,,,0.8301234,,,,,,,129024,,,0.05513825,,8942,,14,,,,,,,,15.0,,,0.2,620,-0.007541055433830479,0.0003,0.19365234375,0.9827795121818781,-0.5826692014932633,0.025405291,-0.013817713595926762,0.0002843897455932165,,
,,,,,,,,,,,,,130000,,,,,,,,,,,,,,,,,,0.2,630,-0.009311487671220675,0.0003,0.19306640625,0.9841039255261421,-0.6029187204316259,0.024787191,-0.0360335148870945,0.00021555297298618824,0.8336433213204145,15.0
64,,,,,,0.8310507199999999,,,,,,,131072,,,0.055077918,,9083,,14,,,,,,,,15.05,,,,,,,,,,,,,,
