player,pos,fpts,rec_rcpt,rec_yd,rec_td,rec_tgt,rush_att,rush_yd,rush_td,fpts_halfppr_adjust,source,source_url
Kevin Harris,RB,9.5740892055,3.990595959,28.638361,0.107746699,5.259790747,7.456068522,31.26142132,0.167813737,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Louis Rees-Zammit,RB,10.471148657000004,2.161542742,15.26478582,0.101701338,2.782634089,10.84443223,45.1479084,0.348439773,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Andrew Beck,RB,8.941416807500001,4.420424489,30.17066019,0.22428538,5.880724779,4.003629398,16.71497388,0.122026706,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Adam Prentice,RB,8.756814988500002,4.449638655,31.80982184,0.149182025,5.732340037,4.285642668,18.54924423,0.10797616,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Travis Homer,RB,8.048315874,4.063224752,29.11842891,0.126566811,5.265863672,3.913957016,17.31961741,0.111195921,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
C.J. Ham,RB,7.039813477999999,4.543036649,29.5593552,0.110268026,5.947920964,1.920722763,8.173345815,0.062776075,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Tyler Goodson,RB,8.298742493,1.880599518,13.03857304,0.067478722,2.494640725,9.395713663,40.27540646,0.280265146,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Nick Bawden,RB,6.184836031000001,4.439562686,30.9386409,0.14959696,5.634210469,,,,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Patrick Ricard,RB,5.705491498000001,3.74643892,26.24479282,0.204484865,5.052715926,,,,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Boston Scott,RB,6.539875883000001,,,,,7.826665965,34.31960875,0.347699744,False,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Hassan Haskins,RB,5.826829569,,,,,9.933823717,41.93932609,0.279377873,False,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Khari Blasingame,RB,2.8077346422000002,2.066354998,14.02319995,0.064173104,2.78991829,,,,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Tyrion Davis-Price,RB,2.432960778,,,,,4.119824633,17.07363304,0.124582438,False,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Jordan Mims,RB,2.3050403550000005,,,,,4.022772469,17.02261971,0.10358954,False,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Jeremy McNichols,RB,2.158950048,,,,,3.827773308,16.24705576,0.091286126,False,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Keilan Robinson,RB,0.524206746,,,,,,,,False,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Pierre Strong Jr.,RB,0.326771112,,,,,,,,False,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
