player,pos,fpts,rec_rcpt,rec_yd,rec_td,rec_tgt,rush_att,rush_yd,rush_td,fpts_halfppr_adjust,pass_att,pass_cmp,pass_yd,pass_td,pass_int,source,source_url
Josh Palmer,WR,127.967413232,60.27372814,723.9434082,4.364869194,92.57593174,,,,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Michael Wilson,WR,114.330153492,56.37531238,664.7653685,3.376707403,85.19794252,,,,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Brandin Cooks,WR,126.88803821200001,57.29765974,668.1064201,4.693597733,85.65296385,4.195937991,26.3546767,0.180248912,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Romeo Doubs,WR,112.08102716300002,49.24184353,596.4988968,4.739611987,79.08719233,,,,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Dontayvion Wicks,WR,103.56051143100001,47.40748411,574.4555038,3.847199525,73.1273894,,,,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Josh Downs,WR,95.444525562,49.54341854,556.6109435,2.408911729,75.19464059,,,,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Tre Tucker,WR,105.619369766,44.28136186,571.6113117,2.317138668,73.02476847,12.03425603,77.26193828,0.459895156,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Demarcus Robinson,WR,124.111459278,57.72262526,697.5010396,4.382211729,87.68022527,,,,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Kendrick Bourne,WR,101.789996191,49.58629969,576.9836362,3.064900732,74.27674763,1.940764523,13.05416652,0.054817461,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Wan'Dale Robinson,WR,102.53606183400001,62.35024621,573.7031331,1.26128668,86.78085106,7.579525678,51.13390853,0.388910789,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
DJ Chark,WR,112.312264952,41.72737862,618.4817984,4.979265602,75.98601463,,,,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Tyler Boyd,WR,102.366462974,57.82001607,576.0212409,2.478572054,83.20489256,1.817690695,11.56485685,0.069212108,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Jalin Hyatt,WR,102.67206357200001,48.53829684,625.8806727,2.760383644,80.36613961,,,,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Rashod Bateman,WR,98.228657547,45.69039299,603.057133,2.613230222,75.72540791,,,,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Jalen Tolbert,WR,99.27657199699999,43.24494911,574.3592313,3.471258963,73.1015606,,,,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Darius Slayton,WR,95.51263101100001,44.22577213,609.4196914,2.158590178,74.92796134,,,,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Tim Patrick,WR,90.64231686600002,41.58115412,516.8026539,3.078759202,68.54886429,,,,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Jalen McMillan,WR,86.72284426299998,39.88252161,488.7587474,3.014418396,64.16064066,,,,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Odell Beckham Jr.,WR,82.81723840800002,31.78767264,462.7866939,3.477903327,56.34239951,,,,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Zay Jones,WR,58.86512346600001,28.3887497,330.2004303,1.959475087,47.12041053,,,,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Marvin Mims,WR,86.485756554,34.88696519,448.1534558,1.926458915,56.84430052,7.77135271,44.61648345,0.298077517,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Luke McCaffrey,WR,79.795799916,40.5051644,481.6422393,1.939455689,65.21840308,,,,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Quentin Johnston,WR,83.49789134600002,36.57182166,462.5399956,2.956901666,59.39609752,2.224111282,13.3852379,0.0685192,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Jermaine Burton,WR,81.489577076,38.3815323,454.9593752,2.828884264,59.11810738,,,,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Trey Palmer,WR,80.153579668,34.59708353,439.3685274,2.57356491,58.2982329,3.897892917,24.43511233,0.170164493,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Malachi Corley,WR,69.910032339,30.20093548,335.4916581,2.141130722,42.98792257,8.786060677,53.97369545,0.452431693,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Josh Reynolds,WR,68.83147834300001,31.15884267,371.9202535,2.732415801,51.15987047,,,,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Kalif Raymond,WR,67.651562383,32.47259031,359.3707732,1.78750231,44.6718338,4.485483171,29.90841828,0.199837069,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Andrei Iosivas,WR,66.86772556400001,31.3038356,353.535988,2.713763188,48.7328784,,,,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Ray-Ray McCloud III,WR,66.372250394,31.9432103,327.1105701,2.034213766,45.82066839,4.302594959,32.06421418,0.245826113,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Ricky Pearsall,WR,67.99527512499999,26.59593869,353.9436479,2.447325781,42.14949379,4.724113822,29.02334024,0.27210471,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Dyami Brown,WR,65.138700309,27.09240747,409.1611449,1.844353701,50.21161283,,,,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Van Jefferson,WR,65.75006308100001,27.60497119,402.5415994,1.992841912,50.85536542,,,,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
