rush_att,rush_yd,rush_td,rec_tgt,rec_rcpt,rec_yd,rec_td,fumbles_lost,fpts,source,source_url,gp,rush_yd_per_rsh,rec_yd_per_game,rec_yd_per_rcpt,fp_per_game,fpts_halfppr_adjust,pass_yd,pass_td,pass_int,rec_yds,fpts_ci,rank_overall,rank_pos,src_player_name,sleeper_id,full_name,team,position
58.7,270.0,1.2,27.8,21.3,119.0,0.1,0.0,57.4,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=2&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,Trey Benson,11589,Trey Benson,ARI,RB
38.4,215.0,0.0,46.5,34.8,140.0,0.3,0.0,55.1,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=2&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,Michael Carter,7607,Michael Carter,ARI,RB
32.9,138.0,2.4,27.9,19.6,119.0,0.3,0.0,51.4,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=2&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,Salvon Ahmed,6918,Salvon Ahmed,MIA,RB
94.3,327.0,1.4,12.1,7.4,61.0,0.0,0.0,51.1,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=2&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,Blake Corum,11586,Blake Corum,LAR,RB
65.1,293.0,0.7,11.0,7.7,54.0,0.0,0.6,41.5,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=2&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,Pierre Strong Jr.,8116,Pierre Strong,CLE,RB
57.4,247.0,0.3,14.6,10.8,66.0,0.4,0.0,41.0,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=2&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,Ty Johnson,6039,Ty Johnson,BUF,RB
49.5,184.0,1.1,11.9,10.0,94.0,0.0,0.0,39.6,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=2&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,Craig Reynolds,6659,Craig Reynolds,DET,RB
48.3,151.0,0.4,21.8,15.9,112.0,0.0,0.0,36.6,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=2&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,Tyrone Tracy,11655,Tyrone Tracy,NYG,RB
72.1,233.0,0.4,13.3,7.5,66.0,0.0,0.7,34.8,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=2&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,Royce Freeman,5046,Royce Freeman,DAL,RB
65.0,197.0,1.6,11.1,5.8,33.0,0.0,0.8,34.1,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=2&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,Tank Bigsby,9225,Tank Bigsby,JAX,RB
