Rank,Player ID,Player Name,Team,Position,Tgt,RZTgt,Rec,Rec Yds,Rec TDs,0-9 RecTDs,10-19 RecTDs,20-29 RecTDs,30-39 RecTDs,40-49 RecTDs,50+ RecTDs,>= 50yds,>= 100yds,>= 150yds,>= 200yds,Rush Yds,Rush TDs,Kick Ret Yds,Fum Lost,Scoring Opps,Pts,pos,source,source_url
35,14341,"Parham, Donald",LAC,TE,46.0,10.8,27.2,312.0,3.7,3.1,0.2,0.0,0.0,0.0,0.4,1.2,0.6,0.2,0.1,0.0,0.0,0.0,0.0,10.2,66.8,TE,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=5&scoring=18
36,14870,"Trautman, Adam",DEN,TE,37.9,12.6,26.1,260.0,4.0,2.7,1.3,0.0,0.0,0.0,0.0,1.0,0.5,0.2,0.1,0.0,0.0,0.0,0.0,9.8,63.2,TE,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=5&scoring=18
37,15332,"Tremble, Tommy",CAR,TE,41.1,5.5,27.8,272.0,3.3,2.6,0.7,0.0,0.0,0.0,0.0,1.1,0.5,0.2,0.1,0.0,0.0,0.0,0.0,3.6,61.1,TE,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=5&scoring=18
38,15419,"Granson, Kylen",IND,TE,55.9,5.9,34.0,394.0,0.6,0.6,0.0,0.0,0.0,0.0,0.0,1.6,0.8,0.3,0.1,2.0,0.0,0.0,0.0,3.1,60.0,TE,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=5&scoring=18
39,14370,"Hudson, Tanner",CIN,TE,52.4,3.4,38.6,347.0,0.9,0.0,0.9,0.0,0.0,0.0,0.0,1.4,0.7,0.2,0.1,0.0,0.0,0.0,0.0,2.1,59.1,TE,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=5&scoring=18
40,13676,"Smythe, Durham",MIA,TE,50.8,6.5,38.1,393.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.8,0.3,0.1,0.0,0.0,0.0,0.0,4.1,58.4,TE,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=5&scoring=18
41,15330,"Jordan, Brevin",HOU,TE,32.4,1.8,25.3,336.0,1.8,1.5,0.3,0.0,0.0,0.0,0.0,1.3,0.7,0.2,0.1,0.0,0.0,0.0,0.0,1.8,57.2,TE,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=5&scoring=18
42,14209,"Oliver, Josh",MIN,TE,35.3,6.4,27.5,271.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.1,0.5,0.2,0.1,0.0,0.0,0.0,0.1,3.9,52.5,TE,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=5&scoring=18
43,16222,"Kraft, Tucker",GBP,TE,36.8,6.7,28.3,275.0,1.4,1.4,0.0,0.0,0.0,0.0,0.0,1.1,0.6,0.2,0.1,0.0,0.0,0.0,0.0,2.7,50.4,TE,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=5&scoring=18
44,13246,"Alie-Cox, Mo",IND,TE,32.6,5.8,18.0,202.0,2.8,1.7,0.9,0.0,0.2,0.0,0.0,0.8,0.4,0.1,0.1,0.0,0.0,0.0,0.0,3.1,47.5,TE,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=5&scoring=18
45,15337,"Gray, Noah",KCC,TE,41.1,4.2,27.6,283.0,0.9,0.7,0.0,0.0,0.2,0.0,0.0,1.1,0.6,0.2,0.1,0.0,0.0,0.0,0.0,3.1,47.3,TE,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=5&scoring=18
46,15797,"Dulcich, Greg",DEN,TE,44.0,5.0,25.1,254.0,1.2,0.3,0.9,0.0,0.0,0.0,0.0,1.0,0.5,0.2,0.1,0.0,0.0,1.0,0.0,4.2,45.2,TE,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=5&scoring=18
